lemma	count	gloss
συμφέρω	15	I collect, am profitable to
χορτάζω	15	I feed, satisfy
εἶτα	15	then, thereafter, next
λῃστής	15	a robber, brigand, bandit
κατέρχομαι	15	I come down
συνίστημι	15	I commend, prove, am composed of, cohere
ξηραίνω	15	I dry up, parch, ripen
χόρτος	15	grass, hay
μακρόθεν	14	from a distance
αὔριον	14	tomorrow
λύχνος	14	a lamp
πώς	14	how
κατανοέω	14	I understand, perceive, consider
μακροθυμία	14	patience, forbearance
θύω	14	I sacrifice, kill
σῖτος	14	wheat, grain
ἀνθίστημι	14	I take a stand against, oppose, resist
κατεσθίω	14	I eat till it is finished
ἁρπάζω	14	I seize, snatch, obtain by robbery
ἀνάκειμαι	14	I recline, especially at a dinner-table
ἐνιαυτός	14	a year
ἐλαία	14	an olive tree
σεισμός	14	an earthquake, storm
τάλαντον	14	a talent of silver or gold
ἀτενίζω	14	I direct my gaze, look steadily
ἐξαποστέλλω	14	I send forth
ἀναχωρέω	14	I return, retire, depart, withdraw
Σαδδουκαῖος	14	a Sadducee
μοιχεύω	14	I commit adultery
χωλός	14	lame, deprived of a foot
μέτρον	14	a measure, measuring rod
ἀλλότριος	14	belonging to another person, foreign
μύρον	14	anointing-oil, ointment
κωφός	14	dumb, deaf
φρόνιμος	14	intelligent, prudent
πετεινόν	14	a bird
ὄφις	14	a serpent
ξένος	14	new, novel, a foreigner
ἐλάχιστος	14	least, smallest, very little
κοινός	14	common, shared, unclean
ἀφίσταμαι	14	I lead away, seduce, depart, abstain from
διαλογισμός	14	a calculation, reasoning, thought, plotting
κλάω	14	I break
ἐπίσταμαι	14	I know, understand
ἄκανθα	14	a thorn-bush
φύσις	14	nature, inherent nature
ἐντέλλομαι	14	I give orders, command
ἀναγγέλλω	14	I announce, make known, report
γράμμα	14	a letter, writings, learning
νοέω	14	I understand, consider
μερίζω	14	I divide, part, share
ὑπακοή	14	obedience
ἀμφότεροι	14	both of two
ὀψία	14	evening
εὐφραίνω	14	I cheer, am glad, make merry
κληρονομία	14	an inheritance
οἷος	14	of what kind, such as
ταπεινόω	14	I humble, humiliate
προσδέχομαι	14	I expect, welcome, accept
νήπιος	14	an infant, child, unlearned
κοινόω	14	I make unclean, regard as unclean
ἕκτος	14	sixth
ἀπειθέω	14	I disobey, rebel, am disloyal
ἅπαξ	14	once, once for all
θερισμός	13	reaping, harvest
ἐλεημοσύνη	13	alms-giving, charity
Τίτος	13	Titus
τύπτω	13	I beat, strike, wound, inflict punishment
Μάρθα	13	Martha
παιδεύω	13	I discipline, educate, train, chastise
ἐκπλήσσομαι	13	I am thunderstruck, astounded
καταλαμβάνω	13	I seize tight hold of, overtake, comprehend
καθάπερ	13	even as
καταντάω	13	I come down, arrive at, reach
καταρτίζω	13	I fit together, prepare
παράδοσις	13	an instruction, tradition
δράκων	13	a dragon or huge serpent
ἀναλαμβάνω	13	I take up, raise
Φῆστος	13	Festus
Ναζωραῖος	13	Nazarene
παιδίσκη	13	a female slave, maidservant, maid.
Ἀνδρέας	13	Andrew
συνεργός	13	a fellow worker
ἔξωθεν	13	from without, outside
καίω	13	I ignite, light, burn
πρίν	13	formerly, before
ἀναστροφή	13	behavior, manner of life
ἀνά	13	and, apiece, by, each, every, in, through
ἐπιζητέω	13	I seek after, desire, search for
ἐμπαίζω	13	I mock
ὕψιστος	13	highest, most high, the heights
στηρίζω	13	I fix firmly, strengthen
τρόπος	13	way, manner, character
δαιμονίζομαι	13	I am demon-possessed
καπνός	13	smoke
ἄνωθεν	13	from above, from the beginning, again
τίμιος	13	of great price, precious, honored
καταισχύνω	13	I shame, disgrace, put to utter confusion
κλέπτω	13	I steal
διαλέγομαι	13	I converse, address, preach, lecture
χωρίζω	13	I separate, depart
διαφέρω	13	I carry through, differ, surpass, excel
ἕξ	13	six
ζύμη	13	leaven, ferment
