form	count	lemma	gloss
κάρφος	6	κάρφος	a dry stalk, chip of wood
πυλῶνες	6	πυλών	a large gate, a gateway, porch
εἰδῆτε	6	οἶδα	I know, remember
μελλούσης	6	μέλλω	I am about to
φοβούμενοι	6	φοβέομαι	I fear, am terrified
ἀκηκόαμεν	6	ἀκούω	I hear, listen
χοίρων	6	χοῖρος	swine
δίς	6	δίς	twice
ἐξαυτῆς	6	ἐξαυτῆς	immediately, instantly
ἀκάθαρτα	6	ἀκάθαρτος	unclean, impure
θυσιαστήριον	6	θυσιαστήριον	an altar
ἀξίως	6	ἀξίως	worthily, in a manner worthy of
κάλαμον	6	κάλαμος	a reed, reed-pen
τοιούτων	6	τοιοῦτος	of such a kind, such
ἰδίας	6	ἴδιος	one's own, private, personal
διακονία	6	διακονία	waiting at table, service, ministration
θύρα	6	θύρα	a door, opportunity
σοφός	6	σοφός	wise
παρέλαβον	6	παραλαμβάνω	I take, receive
ἐκβάλλειν	6	ἐκβάλλω	I throw, cast, put out, banish, bring forth, produce
γινώσκοντες	6	γινώσκω	I come to know, learn, realize
πλείονα	6	πολύς	much, many, often
Καισαρείας	6	Καισάρεια	Caesarea
ἱνατί	6	ἱνατί	why
δακρύων	6	δάκρυον	a tear
νήπιος	6	νήπιος	an infant, child, unlearned
ἀπολύτρωσιν	6	ἀπολύτρωσις	redemption, deliverance
Ἀνδρέας	6	Ἀνδρέας	Andrew
ἐλεύθεροι	6	ἐλεύθερος	free, delivered from obligation
ἀσθενής	6	ἀσθενής	weak, infirm, sick
λύχνος	6	λύχνος	a lamp
τηρῶν	6	τηρέω	I keep, guard, observe
Σιλᾶν	6	Σίλας	Silas
ἀποκάλυψιν	6	ἀποκάλυψις	an unveiling, uncovering, revealing
δεῖξον	6	δείκνυμι	I point out, show
ἀπόλυσον	6	ἀπολύω	I release, let go, send away, divorce
ἔδειξε(ν)	6	δείκνυμι	I point out, show
δέδοται	6	δίδωμι	I offer, give
ἀνάγκην	6	ἀνάγκη	necessity, constraint, compulsion
ἐληλύθει	6	ἔρχομαι	I come, go
ἐξαπέστειλε(ν)	6	ἐξαποστέλλω	I send forth
μέλλοντα	6	μέλλω	I am about to
νοΐ	6	νοῦς	the mind, reasoning faculty
παρεκάλεσαν	6	παρακαλέω	I summon, entreat, admonish, comfort
φάγωσι(ν)	6	ἐσθίω	I eat
ἀγνοεῖν	6	ἀγνοέω	I do not know, am ignorant of
πιστεῦσαι	6	πιστεύω	I believe, have faith in
ἀβύσσου	6	ἄβυσσος	the abyss, the unfathomable depth
καθότι	6	καθότι	according as, because
ἀπαρνήσῃ	6	ἀπαρνέομαι	I deny, disown, disregard
ἐργαζόμενοι	6	ἐργάζομαι	I word, trade, do
ἄλλοις	6	ἄλλος	other, another, different
ὑπερβολήν	6	ὑπερβολή	surpassing excellence, exceedingly
πολλαί	6	πολύς	much, many, often
ὡσαννά	6	ὡσαννά	hosanna
μόλις	6	μόλις	with difficulty, hardly
θρόνος	6	θρόνος	a throne, seat
νότου	6	νότος	the south wind, the South
περιπατοῦντας	6	περιπατέω	I walk, conduct my life
περιπατῶν	6	περιπατέω	I walk, conduct my life
ἀποκτανθῆναι	6	ἀποκτείνω	I put to death, kill
αἰγιαλόν	6	αἰγιαλός	sea-coast, beach
δῷ	6	δίδωμι	I offer, give
δευτέραν	6	δεύτερος	second, in the second place, for the second time
ὄναρ	6	ὄναρ	a dream
καινή	6	καινός	fresh, new
λαμβάνων	6	λαμβάνω	I receive, take
Συρίαν	6	Συρία	Syria
θάλασσα	6	θάλασσα	the sea, lake
μέλλειν	6	μέλλω	I am about to
ἐλεύσομαι	6	ἔρχομαι	I come, go
εὐάρεστον	6	εὐάρεστος	acceptable, well-pleasing
φρονεῖν	6	φρονέω	I think, judge, observe
ἀκούω	6	ἀκούω	I hear, listen
ἀναστάντες	6	ἀνίστημι	I raise up, set up, rise from
ἀσθενεῖ	6	ἀσθενέω	I am weak, sick
Βαβυλών	6	Βαβυλών	Babylon
γενόμενοι	6	γίνομαι	I come into being, am born
ἰδοῦσα	6	ὁράω	I see, look upon, experience
διδασκαλίας	6	διδασκαλία	instruction, teaching
ἔκραζον	6	κράζω	I cry aloud, shriek
περιπατοῦσι(ν)	6	περιπατέω	I walk, conduct my life
κοινοῖ	6	κοινόω	I make unclean, regard as unclean
δοῦλε	6	δοῦλος	a male slave
αὐλήν	6	αὐλή	court-yard, fore-court, palace, house
πραιτώριον	6	πραιτώριον	the official residence of the procurator
δεσμοῖς	6	δεσμός	a bond, chain
φύλλα	6	φύλλον	a leaf
διδόναι	6	δίδωμι	I offer, give
ἀφέωνται	6	ἀφίημι	I send away, release, remit, forgive, permit
χωρίον	6	χωρίον	a place, piece of land, field
ὠσί(ν)	6	οὖς	the ear
ἕστηκε(ν)	6	ἵστημι	I cause to stand, stand
ἔλαιον	6	ἔλαιον	olive oil
νοός	6	νοῦς	the mind, reasoning faculty
φέρουσι(ν)	6	φέρω	I carry, bear, bring, lead
θέλουσι(ν)	6	θέλω	I will, wish, desire
δικαίων	6	δίκαιος	just, righteous, impartial
ἐδικαιώθη	6	δικαιόω	I make righteous, defend the cause of, justify
μεῖζον	6	μέγας	large, great
ἐξίσταντο	6	ἐξίστημι	I astonish, am astonished
καθίσαι	6	καθίζω	I set, make to sit
φοβούμενος	6	φοβέομαι	I fear, am terrified
εἴπωσι(ν)	6	λέγω	I say, speak
βάθος	6	βάθος	depth, a depth, a deep
φωνεῖ	6	φωνέω	I crow, shout, summon
ἠρώτα	6	ἐρωτάω	I ask, question, request
παρουσίας	6	παρουσία	presence, a coming, arrival, advent
ψεύστης	6	ψεύστης	a liar, deceiver
κακά	6	κακός	bad, evil
πληγάς	6	πληγή	a blow, stripe, wound
στοιχεῖα	6	στοιχεῖον	a heavenly body, an element
Πιλάτῳ	6	Πιλᾶτος	Pilate
λέγοντα	6	λέγω	I say, speak
δικαίου	6	δίκαιος	just, righteous, impartial
κατεργάζεται	6	κατεργάζομαι	I work out, produce, accomplish
γωνίας	6	γωνία	a corner, a secret place
ἕνδεκα	6	ἕνδεκα	eleven
βασιλεῖ	6	βασιλεύς	a king, ruler, emperor
ἡτοίμασαν	6	ἑτοιμάζω	I make ready, prepare
παρακαλέσαι	6	παρακαλέω	I summon, entreat, admonish, comfort
ἐπορεύετο	6	πορεύομαι	I travel, journey, go
ἀρχιερεῦσι(ν)	6	ἀρχιερεύς	high priest, chief priest
ἐπαγγελία	6	ἐπαγγελία	a promise
Ἀγρίππα	6	Ἀγρίππας	Agrippa
βάλλει	6	βάλλω	I cast, throw, rush, put, place, drop
σπείρεται	6	σπείρω	I sow, spread, scatter
οἰκονομίαν	6	οἰκονομία	stewardship
τοιοῦτοι	6	τοιοῦτος	of such a kind, such
ἔθος	6	ἔθος	a custom
ἰσχύος	6	ἰσχύς	strength, power
ἐχαρίσατο	6	χαρίζομαι	I show favor to, forgive
μείνῃ	6	μένω	I remain, abide
ἀκροβυστίᾳ	6	ἀκροβυστία	foreskin
ποία	6	ποῖος	of what sort
δεδεμένον	6	δέω	I bind
μόνῳ	6	μόνος	only, solitary, desolate
παρακαλοῦμεν	6	παρακαλέω	I summon, entreat, admonish, comfort
θερισμός	6	θερισμός	reaping, harvest
δικαίους	6	δίκαιος	just, righteous, impartial
σώσει	6	σῴζω	I save, heal
ἕτοιμοι	6	ἕτοιμος	ready, prepared
καλῶν	6	καλός	beautiful, good, worthy
ἁμαρτάνει	6	ἁμαρτάνω	I sin
ἐλάλουν	6	λαλέω	I speak, say
ἀπαρχή	6	ἀπαρχή	the first-fruits
ὑπήντησε(ν)	6	ὑπαντάω	I meet
ποιοῦν	6	ποιέω	I do, make
εἰκών	6	εἰκών	an image, likeness, bust
ἐποίησας	6	ποιέω	I do, make
σκοτία	6	σκοτία	darkness
φωναί	6	φωνή	a sound, noise, voice
καύχησις	6	καύχησις	the act of boasting, exultation
ἀγαθῶν	6	ἀγαθός	good
δεσμῶν	6	δεσμός	a bond, chain
παρήγγειλε(ν)	6	παραγγέλλω	I notify, command, charge
κρείττονος	6	κρείττων	stronger, more excellent
πέμψω	6	πέμπω	I send
ἔσχατος	6	ἔσχατος	last, at the last, finally
ἐσπλαγχνίσθη	6	σπλαγχνίζομαι	I have pity on
μέλλοντος	6	μέλλω	I am about to
σκανδαλίζει	6	σκανδαλίζω	I cause to stumble
ἐσχίσθη	6	σχίζω	I rend, divide asunder
κηρύσσειν	6	κηρύσσω	I proclaim, herald, preach
ὀφθαλμοῦ	6	ὀφθαλμός	the eye
γυμνός	6	γυμνός	wearing only the under-garment, bare
ζύμης	6	ζύμη	leaven, ferment
ηὔξανε(ν)	6	αὐξάνω	I cause to increase, become greater, grow
πλάνης	6	πλάνη	a wandering, error
παιδίου	6	παιδίον	a little child, an infant
συναγωγῆς	6	συναγωγή	an assembly, congregation, synagogue
προσεύχεσθαι	6	προσεύχομαι	I pray, pray for
ὁρίων	6	ὅριον	districts, territory
ἔχουσαν	6	ἔχω	I have, hold, possess
ῥήματος	6	ῥῆμα	a thing spoken
πόλεων	6	πόλις	a city
ἀποκτενοῦσι(ν)	6	ἀποκτείνω	I put to death, kill
ἐχορτάσθησαν	6	χορτάζω	I feed, satisfy
μύρου	6	μύρον	anointing-oil, ointment
ἁγία	6	ἅγιος	set apart, holy, sacred
Ναζαρέθ	6	Ναζαρέθ	Nazareth
καρπῶν	6	καρπός	fruit, result, gain
πονηρῶν	6	πονηρός	evil, bad, wicked
Φῆλιξ	6	Φῆλιξ	Felix
Ναθαναήλ	6	Ναθαναήλ	Nathanael
ἀκούοντας	6	ἀκούω	I hear, listen
κρατήσας	6	κρατέω	I lay hold of, obtain
ἕτεροι	6	ἕτερος	another, different
χόρτον	6	χόρτος	grass, hay
ἀζύμων	6	ἄζυμος	unleavened, the paschal feast, uncorrupted
γάμους	6	γάμος	a marriage, wedding, wedding-feast
διαλέκτῳ	6	διάλεκτος	language, speech
δούλου	6	δοῦλος	a male slave
ἀγοραῖς	6	ἀγορά	market-place
τέσσαρα	6	τέσσαρες	four
παραπτώματα	6	παράπτωμα	a falling away, sin
ἐγείρεται	6	ἐγείρω	I wake, arouse, raise up
ἐργάτας	6	ἐργάτης	a field-laborer, workman
ἐγνώκαμεν	6	γινώσκω	I come to know, learn, realize
συκῆν	6	συκῆ	a fig-tree
ἦς	6	εἰμί	I am, exist
πρώτην	6	πρῶτος	first, before
θηρίῳ	6	θηρίον	a wild beast, animal
χαίροντες	6	χαίρω	I rejoice, am glad
προσεύξασθαι	6	προσεύχομαι	I pray, pray for
ἐπληρώθη	6	πληρόω	I fill, fulfill, complete
ἀνέχεσθε	6	ἀνέχομαι	I endure, bear with
πλείονας	6	πολύς	much, many, often
ἀρθήσεται	6	αἴρω	I raise, lift up
σπουδήν	6	σπουδή	haste, diligence
δούλῳ	6	δοῦλος	a male slave
ἐδοξάσθη	6	δοξάζω	I glorify, honor, bestow glory on
ἐμῇ	6	ἐμός	mine
σχίσμα	6	σχίσμα	a rent, division
καθημένους	6	κάθημαι	I sit, am seated
οὔσης	6	εἰμί	I am, exist
ἄρχοντα	6	ἄρχων	a ruler, prince, leader
εὑρίσκω	6	εὑρίσκω	I find
λαβοῦσα	6	λαμβάνω	I receive, take
εἰκῇ	6	εἰκῇ	without purpose, in vain
παρών	6	πάρειμι	I am present, am near
κωλύετε	6	κωλύω	I prevent, hinder
χρόνων	6	χρόνος	time, a particular time, season
ἔνι	6	ἔνι	there is in, is present
χαρίσματα	6	χάρισμα	an undeserved favor
καπνός	6	καπνός	smoke
ἀληθινόν	6	ἀληθινός	true, real, genuine
βούλομαι	6	βούλομαι	I will, intend, desire
φυλακῆς	6	φυλακή	a watching, guard, prison, imprisonment
ἐσθίετε	6	ἐσθίω	I eat
Γαλιλαίᾳ	6	Γαλιλαία	Galilee
παρέλθῃ	6	παρέρχομαι	I pass by
σκηνήν	6	σκηνή	a tent, tabernacle
μένετε	6	μένω	I remain, abide
ἔκλασε(ν)	6	κλάω	I break
ἔλθω	6	ἔρχομαι	I come, go
βρῶμα	6	βρῶμα	food of any kind
φιλήματι	6	φίλημα	a kiss
διαφθοράν	6	διαφθορά	destruction, decay, corruption
σταθείς	6	ἵστημι	I cause to stand, stand
ἁγίαν	6	ἅγιος	set apart, holy, sacred
ὑπάρχειν	6	ὑπάρχω	I am, exist, am in possession
ὑπέστρεψε(ν)	6	ὑποστρέφω	I turn back, return
γνῶσιν	6	γνῶσις	knowledge, doctrine, wisdom
προσευχῆς	6	προσευχή	prayer, a place for prayer
κλαίοντες	6	κλαίω	I weep, weep for, mourn
ἐπέθηκαν	6	ἐπιτίθημι	I put, place upon, lay on
ἑστῶτας	6	ἵστημι	I cause to stand, stand
Ἐφέσῳ	6	Ἔφεσος	Ephesus
κύριοι	6	κύριος	lord, Lord, master, sir
φωνῆσαι	6	φωνέω	I crow, shout, summon
θελήματι	6	θέλημα	will, wish, desire
ἀκάνθας	6	ἄκανθα	a thorn-bush
πλοῖα	6	πλοῖον	a ship, vessel
ἐπιστολήν	6	ἐπιστολή	a letter, dispatch, epistle
συνῆκαν	6	συνίημι	I consider, understand
γενεᾷ	6	γενεά	a generation
προσευχαῖς	6	προσευχή	prayer, a place for prayer
Λάζαρον	6	Λάζαρος	Lazarus, Eliezer
ὀλίγα	6	ὀλίγος	small, brief, few, soon
Βαρναβᾷ	6	Βαρναβᾶς	Barnabas
γυναιξί(ν)	6	γυνή	a woman, wife, my lady
ἑτέρου	6	ἕτερος	another, different
ἀνομίαν	6	ἀνομία	lawlessness, iniquity
γνῶτε	6	γινώσκω	I come to know, learn, realize
ὄντων	6	εἰμί	I am, exist
οὖσαν	6	εἰμί	I am, exist
διώκεις	6	διώκω	I pursue, persecute
πλούτου	6	πλοῦτος	riches, wealth
ἐλθόντος	6	ἔρχομαι	I come, go
ἆραι	6	αἴρω	I raise, lift up
καλέσας	6	καλέω	I call, invite, name
ἀνάστασις	6	ἀνάστασις	a rising again, resurrection
τυφλόν	6	τυφλός	blind
μιμηταί	6	μιμητής	an imitator
χαρᾷ	6	χαρά	joy, gladness
ῥημάτων	6	ῥῆμα	a thing spoken
ἐπέτρεψε(ν)	6	ἐπιτρέπω	I allow, permit
πτῶμα	6	πτῶμα	a carcass, corpse
ἐσθίειν	6	ἐσθίω	I eat
κοιλίᾳ	6	κοιλία	belly, womb, the inner man
ἐπιστρέψας	6	ἐπιστρέφω	I turn back to
Τιμόθεον	6	Τιμόθεος	Timothy
θλίψεσι(ν)	6	θλῖψις	persecution, affliction, distress
σαπρόν	6	σαπρός	rotten, useless, corrupt
ὑγιής	6	ὑγιής	sound, whole, wholesome
ᾐτήσατο	6	αἰτέω	I ask, request, beg, petition
ὑψηλόν	6	ὑψηλός	high, lofty
τρισί(ν)	6	τρεῖς	three
πίω	6	πίνω	I drink, imbibe
ἐχθροί	6	ἐχθρός	hated, hostile, an enemy
ἐκδίκησιν	6	ἐκδίκησις	a defense, vengeance, full punishment
ὑπάρχοντες	6	ὑπάρχω	I am, exist, am in possession
χήρας	6	χήρα	a widow
ἕξει	6	ἔχω	I have, hold, possess
ἐγενήθησαν	6	γίνομαι	I come into being, am born
χιτῶνας	6	χιτών	a tunic, garment, undergarment
ζῶ	6	ζάω	I live
λεγόντων	6	λέγω	I say, speak
τίθησι(ν)	6	τίθημι	I put, place
μεῖναι	6	μένω	I remain, abide
γράμματα	6	γράμμα	a letter, writings, learning
ἀφιέναι	6	ἀφίημι	I send away, release, remit, forgive, permit
κήρυγμα	6	κήρυγμα	a proclamation, preaching
τοιοῦτον	6	τοιοῦτος	of such a kind, such
κλήσεως	6	κλῆσις	a calling, summons
βιβλίῳ	6	βιβλίον	a papyrus roll
ἠρώτησε(ν)	6	ἐρωτάω	I ask, question, request
ἅλας	6	ἅλας	salt
ἦρε(ν)	6	αἴρω	I raise, lift up
εἴπερ	6	εἴπερ	if indeed, if so
ἐδόξαζον	6	δοξάζω	I glorify, honor, bestow glory on
πώποτε	6	πώποτε	at any time, ever
ποιμένα	6	ποιμήν	a shepherd
τίνες	6	τίς	who, which, what
ἀνάγκη	6	ἀνάγκη	necessity, constraint, compulsion
ἐμός	6	ἐμός	mine
παρέδωκαν	6	παραδίδωμι	I hand over, deliver, betray
Βηθανίαν	6	Βηθανία	Bethany
χρυσοῦν	6	χρυσοῦς	golden
ἔγνων	6	γινώσκω	I come to know, learn, realize
κληρονόμος	6	κληρονόμος	an heir, inheritor
καταλιπών	6	καταλείπω	I leave behind, abandon
κοινωνοί	6	κοινωνός	a sharer, partner
ἀποστόλοις	6	ἀπόστολος	an apostle, a messenger, an envoy, a delegate
δυνατά	6	δυνατός	powerful, able, possible
βιβλίου	6	βιβλίον	a papyrus roll
τοιαύτην	6	τοιοῦτος	of such a kind, such
πιστεύομεν	6	πιστεύω	I believe, have faith in
πρώτῃ	6	πρῶτος	first, before
γνώμην	6	γνώμη	opinion, counsel, judgment, intention
ἀδελφέ	6	ἀδελφός	a brother
ζῶντα	6	ζάω	I live
ἀγέλη	6	ἀγέλη	a flock, herd
ἥξουσι(ν)	6	ἥκω	I have come, am present
ἐργάζεσθαι	6	ἐργάζομαι	I word, trade, do
ἀνελεῖν	6	ἀναιρέω	I take up, abolish, murder
παρουσία	6	παρουσία	presence, a coming, arrival, advent
ἑτέρα	6	ἕτερος	another, different
παραγενόμενοι	6	παραγίνομαι	I appear, come, arrive at
ἐμβλέψας	6	ἐμβλέπω	I look into, look upon
πέσῃ	5	πίπτω	I fall, fall under
καλεῖται	5	καλέω	I call, invite, name
ἐξήγαγε(ν)	5	ἐξάγω	I lead out
Ἰεσσαί	5	Ἰεσσαί	Jesse
ἑξῆς	5	ἑξῆς	next in order, the next day
Ἀαρών	5	Ἀαρών	Aaron
ὅλῳ	5	ὅλος	all, the whole, entire
ἀφείς	5	ἀφίημι	I send away, release, remit, forgive, permit
Κορνήλιος	5	Κορνήλιος	Cornelius
ἔσχε(ν)	5	ἔχω	I have, hold, possess
ἐβαπτίσθη	5	βαπτίζω	I dip, submerge, baptize
θεοί	5	θεός	God, a god
πεποίηκε(ν)	5	ποιέω	I do, make
λαλήσω	5	λαλέω	I speak, say
ἰσχυρόν	5	ἰσχυρός	strong, mighty, powerful
ἐναντίον	5	ἐναντίον	before, in the presence of, in the eyes of
ἀνάθεμα	5	ἀνάθεμα	a curse, a cursed thing
πωλοῦντας	5	πωλέω	I sell
ἄρατε	5	αἴρω	I raise, lift up
Τίτου	5	Τίτος	Titus
σχῶ	5	ἔχω	I have, hold, possess
ἐρωτᾷ	5	ἐρωτάω	I ask, question, request
γεωργοῖς	5	γεωργός	a worker of the soil, husbandman, vine-dresser
σινάπεως	5	σίναπι	mustard
ἀρνίῳ	5	ἀρνίον	a lamb
γνόντες	5	γινώσκω	I come to know, learn, realize
ἀπών	5	ἄπειμι	['I am absent', 'I go away, depart']
φύσει	5	φύσις	nature, inherent nature
πεποιθώς	5	πείθω	I persuade, urge
κρίνεται	5	κρίνω	I judge, decide, think good
προσκυνοῦντας	5	προσκυνέω	I worship
ἀστέρων	5	ἀστήρ	a star
μαχαιρῶν	5	μάχαιρα	a sword
αὑτῷ	5	ἑαυτοῦ	himself, herself, itself
ἤνεγκε(ν)	5	φέρω	I carry, bear, bring, lead
ἐκβάλλω	5	ἐκβάλλω	I throw, cast, put out, banish, bring forth, produce
ἀλέκτορα	5	ἀλέκτωρ	a cock, rooster
καθεξῆς	5	καθεξῆς	in order, just after
νοεῖτε	5	νοέω	I understand, consider
πέπεισμαι	5	πείθω	I persuade, urge
θυσιαστηρίῳ	5	θυσιαστήριον	an altar
ἐρωτήσω	5	ἐρωτάω	I ask, question, request
ζῶσαν	5	ζάω	I live
εὐλογίαν	5	εὐλογία	adulation, praise, blessing
καθαρισμοῦ	5	καθαρισμός	cleansing, purifying, purification
τιμῇ	5	τιμή	a price, honor
δούλων	5	δοῦλος	a male slave
γλωσσῶν	5	γλῶσσα	the tongue, a language, nation
ἀπέναντι	5	ἀπέναντι	over against, opposite, in view of, in the presence of
δοξάσει	5	δοξάζω	I glorify, honor, bestow glory on
ποιούμενος	5	ποιέω	I do, make
ἀριθμόν	5	ἀριθμός	a number, total
ὑπῆρχε(ν)	5	ὑπάρχω	I am, exist, am in possession
ἀδελφάς	5	ἀδελφή	a sister
βαπτιστοῦ	5	βαπτιστής	the baptizer, the Baptist
ἔφαγε(ν)	5	ἐσθίω	I eat
κρεῖττον	5	κρείττων	stronger, more excellent
ἀκανθῶν	5	ἄκανθα	a thorn-bush
κονιορτόν	5	κονιορτός	dust
καθεύδοντας	5	καθεύδω	I sleep, am sleeping
διδαχῆς	5	διδαχή	teaching, doctrine
δώσουσι(ν)	5	δίδωμι	I offer, give
Νικόδημος	5	Νικόδημος	Nicodemus
ἀπόδοτε	5	ἀποδίδωμι	I give back, return, sell
καταλῦσαι	5	καταλύω	I break up, overthrow, unharness, find a lodging
πονηροί	5	πονηρός	evil, bad, wicked
μήγε	5	μήγε	not
λογίζεται	5	λογίζομαι	I reckon, count, decide
βρώματα	5	βρῶμα	food of any kind
ζώνην	5	ζώνη	a girdle, belt, purse
ἀφίεται	5	ἀφίημι	I send away, release, remit, forgive, permit
πνεύμασι(ν)	5	πνεῦμα	wind, breath, spirit
ἀγαπῶ	5	ἀγαπάω	I love
σεαυτῷ	5	σεαυτοῦ	of yourself
παρθένον	5	παρθένος	a virgin
διανοίᾳ	5	διάνοια	understanding, intellect, mind
ἀπεδήμησε(ν)	5	ἀποδημέω	I go into another country
ποσί(ν)	5	πούς	the foot
ἐπιγνόντες	5	ἐπιγινώσκω	I come to know, discern, recognize
δέδωκα	5	δίδωμι	I offer, give
δείξω	5	δείκνυμι	I point out, show
θῶ	5	τίθημι	I put, place
λύπην	5	λύπη	pain, grief
φύσιν	5	φύσις	nature, inherent nature
ἀγαπῶσι(ν)	5	ἀγαπάω	I love
κἀμοί	5	κἀγώ	I also, I too
τέσσαρσι(ν)	5	τέσσαρες	four
βλασφημοῦντες	5	βλασφημέω	I speak evil against, blaspheme
γραμματεύς	5	γραμματεύς	a scribe, town-clerk, man of learning
γέγονα	5	γίνομαι	I come into being, am born
εἶδαν	5	ὁράω	I see, look upon, experience
σεαυτοῦ	5	σεαυτοῦ	of yourself
ἀκοή	5	ἀκοή	hearing, faculty of hearing, ear
ξύλων	5	ξύλον	a staff, cross, anything made of wood
Φαραώ	5	Φαραώ	Pharaoh
οὖσα	5	εἰμί	I am, exist
μεμαρτύρηκε(ν)	5	μαρτυρέω	I witness, testify
λειτουργίας	5	λειτουργία	a charitable gift, public service
κρίνεσθαι	5	κρίνω	I judge, decide, think good
δηνάριον	5	δηνάριον	a denarius
ἐνάτην	5	ἔνατος	ninth
Φαρισαίους	5	Φαρισαῖος	a Pharisee
ἀνελήμφθη	5	ἀναλαμβάνω	I take up, raise
μισῶν	5	μισέω	I hate, detest
πήραν	5	πήρα	a sack, wallet
περιπατοῦντα	5	περιπατέω	I walk, conduct my life
ἐπυνθάνετο	5	πυνθάνομαι	I ask, inquire
Ἀγρίππας	5	Ἀγρίππας	Agrippa
στρατιώτας	5	στρατιώτης	a soldier
ἐξέστησαν	5	ἐξίστημι	I astonish, am astonished
καυχήσομαι	5	καυχάομαι	I boast, glory
ἀπωλείας	5	ἀπώλεια	destruction, ruin, loss
πτωχοί	5	πτωχός	poor, destitute
σταύρωσον	5	σταυρόω	I crucify
τελώνης	5	τελώνης	a collector of taxes
φάγω	5	ἐσθίω	I eat
ἁμαρτωλῷ	5	ἁμαρτωλός	sinning, sinful, a sinner
δοθῆναι	5	δίδωμι	I offer, give
ἐσχάτου	5	ἔσχατος	last, at the last, finally
ἤμεθα	5	εἰμί	I am, exist
ἐπουρανίοις	5	ἐπουράνιος	heavenly, celestial
πέτραν	5	πέτρα	rock
ἱκανοί	5	ἱκανός	sufficient, worthy, many, much
ἀγαθέ	5	ἀγαθός	good
ἀπώλετο	5	ἀπόλλυμι	I destroy, lose, am perishing
Ἕλλησι(ν)	5	Ἕλλην	a Hellene, a Greek
ἀποθνῄσκει	5	ἀποθνῄσκω	I am dying, am about to die
παλαιόν	5	παλαιός	old, ancient, worn out
θερίσει	5	θερίζω	I reap, gather
γένους	5	γένος	offspring, family, race, kind
ἀνέβλεψε(ν)	5	ἀναβλέπω	I look up, recover my sight
γράψαι	5	γράφω	I write
ἐγενήθητε	5	γίνομαι	I come into being, am born
ἐμαρτύρησε(ν)	5	μαρτυρέω	I witness, testify
γεωργούς	5	γεωργός	a worker of the soil, husbandman, vine-dresser
ὑποτάσσεται	5	ὑποτάσσω	I place under, subject to
δεήσει	5	δέησις	supplication, prayer
σάλπιγγος	5	σάλπιγξ	a trumpet
διελογίζοντο	5	διαλογίζομαι	I reason, debate, consider
μέλος	5	μέλος	a limb, member
χόρτος	5	χόρτος	grass, hay
διαθήκην	5	διαθήκη	a covenant, will, testament
νύμφην	5	νύμφη	a bride, daughter-in-law
πλευράν	5	πλευρά	the side of the body
βλέπουσι(ν)	5	βλέπω	I look, see
ἐπιθείς	5	ἐπιτίθημι	I put, place upon, lay on
περισσόν	5	περισσός	abundant, greater, vehemently, advantage
ἅτινα	5	ὅστις	whosoever, whichsoever, whatsoever
δικαίως	5	δικαίως	justly, righteously
ὑπαρχόντων	5	ὑπάρχω	I am, exist, am in possession
πλήρεις	5	πλήρης	full
ἀναστήσεται	5	ἀνίστημι	I raise up, set up, rise from
ὑπακούουσι(ν)	5	ὑπακούω	I listen, obey
Ἁλφαίου	5	Ἁλφαῖος	Alphaeus
δυσμῶν	5	δυσμή	a setting of the sun, the West
γονεῦσι(ν)	5	γονεύς	a parent
ἀπολύσῃ	5	ἀπολύω	I release, let go, send away, divorce
προφητεία	5	προφητεία	prophecy
ψυχῶν	5	ψυχή	the soul, life, self
πίπτει	5	πίπτω	I fall, fall under
εὐλογήσας	5	εὐλογέω	I bless
ἐλέους	5	ἔλεος	pity, mercy
ἐκβάλῃ	5	ἐκβάλλω	I throw, cast, put out, banish, bring forth, produce
εἰσελθόντες	5	εἰσέρχομαι	I go in, come in, enter
χρυσᾶς	5	χρυσοῦς	golden
ᾔδειν	5	οἶδα	I know, remember
ἐβαπτίζοντο	5	βαπτίζω	I dip, submerge, baptize
νεφέλη	5	νεφέλη	a cloud
διακρινόμενος	5	διακρίνω	I distinguish, discern, doubt, hesitate
ἐφάπαξ	5	ἐφάπαξ	once, once for all
ἀφῆτε	5	ἀφίημι	I send away, release, remit, forgive, permit
νεφέλην	5	νεφέλη	a cloud
αἰτήσει	5	αἰτέω	I ask, request, beg, petition
ἐξερχόμενοι	5	ἐξέρχομαι	I go out, come out
μνημείῳ	5	μνημεῖον	a tomb, sepulcher
τινός	5	τις	any one, some one
ψευδοπροφῆται	5	ψευδοπροφήτης	a false prophet
λαμβάνετε	5	λαμβάνω	I receive, take
ἀποθνῄσκειν	5	ἀποθνῄσκω	I am dying, am about to die
εἰσελεύσονται	5	εἰσέρχομαι	I go in, come in, enter
ἀνοίξας	5	ἀνοίγω	I open
τέλειοι	5	τέλειος	perfect, full-grown
πειράζοντες	5	πειράζω	I try, tempt, test
παρελάβετε	5	παραλαμβάνω	I take, receive
κοράσιον	5	κοράσιον	a girl, little girl
ἔκβαλε	5	ἐκβάλλω	I throw, cast, put out, banish, bring forth, produce
ἐφοβήθη	5	φοβέομαι	I fear, am terrified
Κιλικίας	5	Κιλικία	Cilicia
μείνατε	5	μένω	I remain, abide
ἀκαθάρτου	5	ἀκάθαρτος	unclean, impure
προσευχῶν	5	προσευχή	prayer, a place for prayer
ἴδῃ	5	ὁράω	I see, look upon, experience
ἀπειθεῖς	5	ἀπειθής	unbelieving, disobedient
ἐλθοῦσα	5	ἔρχομαι	I come, go
